Survived,Pclass,Sex,Age,SibSp,Parch,Fare,title_Misc,title_Miss,title_Mr,title_Mrs,FamilySize,IsAlone,embark_Q,embark_S
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
0,3,1,28.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
1,2,1,0.83,0,2,3.367295829986474,0,0,0,0,3,0,0,1
1,3,0,30.0,0,0,2.5237266416375825,0,1,0,0,1,1,0,1
0,3,1,22.0,0,0,2.1972245773362196,0,0,1,0,1,1,0,1
1,3,1,29.0,0,0,2.2512917986064953,0,0,1,0,1,1,0,1
1,3,0,28.0,0,0,2.0525198841135714,0,1,0,0,1,1,1,0
0,1,1,28.0,0,0,3.8522730010223722,0,0,1,0,1,1,0,1
1,2,0,17.0,0,0,2.3513752571634776,0,1,0,0,1,1,0,1
1,3,0,33.0,3,0,2.7631695003232895,0,0,0,1,4,0,0,1
0,3,1,16.0,1,3,3.5373295559867355,0,0,1,0,5,0,0,1
0,3,1,28.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
1,1,0,23.0,3,2,4.605170185988092,0,1,0,0,6,0,0,1
0,3,1,24.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,29.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,20.0,0,0,2.061048420562944,0,0,1,0,1,1,0,1
0,1,1,46.0,1,0,4.113738609328736,0,0,1,0,2,0,0,1
0,3,1,26.0,1,2,3.0240767465631335,0,0,1,0,4,0,0,1
0,3,1,59.0,0,0,1.9810014688665833,0,0,1,0,1,1,0,1
0,3,1,28.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,1,1,71.0,0,0,3.545418930411529,0,0,1,0,1,1,0,0
1,1,1,23.0,0,1,4.148805916338137,0,0,1,0,2,0,0,0
1,2,0,34.0,0,1,3.1354942159291497,0,0,0,1,2,0,0,1
0,2,1,34.0,1,0,3.258096538021482,0,0,1,0,2,0,0,1
0,3,0,28.0,0,0,2.0663309725297405,0,1,0,0,1,1,0,1
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
0,1,1,21.0,0,1,4.347532234884687,0,0,1,0,2,0,0,1
0,3,1,33.0,0,0,2.158044752235899,0,0,1,0,1,1,0,1
0,3,1,37.0,2,0,2.0700223197633445,0,0,1,0,3,0,0,1
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
1,3,0,21.0,0,0,2.0347056478384444,0,1,0,0,1,1,0,1
1,3,1,28.0,0,0,2.0509134580652977,0,0,1,0,1,1,0,1
0,3,1,38.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
1,3,0,28.0,1,0,3.184284380098582,0,1,0,0,2,0,1,0
0,1,1,47.0,0,0,3.9512437185814275,0,0,1,0,1,1,0,1
0,3,0,14.5,1,0,2.6709850297651974,0,1,0,0,2,0,0,0
0,3,1,22.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,0,20.0,1,0,2.284930157755325,0,1,0,0,2,0,0,1
0,3,0,17.0,0,0,2.671268644120752,0,1,0,0,1,1,0,0
0,3,1,21.0,0,0,2.0700223197633445,0,0,1,0,1,1,0,1
0,3,1,70.5,0,0,2.0476928433652555,0,0,1,0,1,1,1,0
0,2,1,29.0,1,0,3.044522437723423,0,0,1,0,2,0,0,1
0,1,1,24.0,0,1,4.605170185988092,0,0,1,0,2,0,0,0
0,3,0,2.0,4,2,3.442819056352975,0,1,0,0,7,0,0,1
0,2,1,21.0,2,0,4.297285406218791,0,0,1,0,3,0,0,1
0,3,1,28.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,2,1,32.5,1,0,3.4035546012358333,0,0,1,0,2,0,0,0
1,2,0,32.5,0,0,2.5649493574615367,0,1,0,0,1,1,0,1
0,1,1,54.0,0,1,4.347532234884687,0,0,1,0,2,0,0,1
1,3,1,12.0,1,0,2.419630078580691,0,0,0,0,2,0,0,0
0,3,1,28.0,0,0,2.0476928433652555,0,0,1,0,1,1,1,0
1,3,1,24.0,0,0,1.9659508432494155,0,0,1,0,1,1,0,1
1,3,0,28.0,1,1,3.107197616774036,0,1,0,0,3,0,0,0
0,3,1,45.0,0,0,1.9423323277074294,0,0,1,0,1,1,0,1
0,3,1,33.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,0
0,3,1,20.0,0,0,1.9530276168241774,0,0,1,0,1,1,0,1
0,3,0,47.0,1,0,2.6741486494265287,0,0,0,1,2,0,0,1
1,2,0,29.0,1,0,3.258096538021482,0,0,0,1,2,0,0,1
0,2,1,25.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,2,1,23.0,0,0,2.711098882480229,0,0,1,0,1,1,0,0
1,1,0,19.0,0,2,3.2689337565093157,0,1,0,0,3,0,0,1
0,1,1,37.0,1,0,3.9721769282478934,0,0,1,0,2,0,0,1
0,3,1,16.0,0,0,2.221017055930222,0,0,1,0,1,1,0,1
0,1,1,24.0,0,0,4.37197629882038,0,0,1,0,1,1,0,0
0,3,0,28.0,0,2,2.7243040552851014,0,0,0,1,3,0,0,0
1,3,0,22.0,0,0,2.0476928433652555,0,1,0,0,1,1,0,1
1,3,0,24.0,1,0,2.7631695003232895,0,0,0,1,2,0,0,1
0,3,1,19.0,0,0,1.9095425048844386,0,0,1,0,1,1,1,0
0,2,1,18.0,0,0,2.4423470353692043,0,0,1,0,1,1,0,1
0,2,1,19.0,1,1,3.6041382256588457,0,0,1,0,3,0,0,1
1,3,1,27.0,0,0,2.0535851271346086,0,0,1,0,1,1,0,1
0,3,0,9.0,2,2,3.5373295559867355,0,1,0,0,5,0,0,1
0,2,1,36.5,0,2,3.258096538021482,0,0,1,0,3,0,0,1
0,2,1,42.0,0,0,2.5649493574615367,1,0,0,0,1,1,0,1
0,2,1,51.0,0,0,2.5277266469709283,1,0,0,0,1,1,0,1
1,1,0,22.0,1,0,4.198704577546343,0,0,0,1,2,0,0,1
0,3,1,55.5,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,40.5,0,2,2.6741486494265287,0,0,1,0,3,0,0,1
0,3,1,28.0,0,0,1.989585212557975,0,0,1,0,1,1,0,1
0,1,1,51.0,0,1,4.117071015545232,0,0,1,0,2,0,0,0
1,3,0,16.0,0,0,2.0455356796500372,0,1,0,0,1,1,1,0
0,3,1,30.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,28.0,0,0,2.1590033645160216,0,0,1,0,1,1,0,1
0,3,1,28.0,8,2,4.242045918369452,0,0,0,0,11,0,0,1
0,3,1,44.0,0,1,2.7788192719904172,0,0,1,0,2,0,0,1
1,2,0,40.0,0,0,2.7568403652716422,0,0,0,1,1,1,0,1
0,3,1,26.0,0,0,2.0509134580652977,0,0,1,0,1,1,0,1
0,3,1,17.0,0,0,2.1590033645160216,0,0,1,0,1,1,0,1
0,3,1,1.0,4,1,3.6810362766529106,0,0,0,0,6,0,0,1
1,3,1,9.0,0,2,3.021643655338492,0,0,0,0,3,0,0,1
1,1,0,28.0,0,1,4.007333185232471,0,0,0,1,2,0,0,1
0,3,0,45.0,1,4,3.32862668882732,0,0,0,1,6,0,0,1
0,1,1,28.0,0,0,3.2552077541155913,0,0,1,0,1,1,0,1
0,3,1,28.0,0,0,4.034166299106131,0,0,1,0,1,1,0,1
0,1,1,61.0,0,0,3.5115454388310208,0,0,1,0,1,1,0,1
0,3,1,4.0,4,1,3.371596911885865,0,0,0,0,6,0,1,0
1,3,0,1.0,1,1,2.409940617298087,0,1,0,0,3,0,0,1
0,3,1,21.0,0,0,2.0700223197633445,0,0,1,0,1,1,0,1
0,1,1,56.0,0,0,3.424125837416519,0,0,1,0,1,1,0,0
0,3,1,18.0,1,1,2.061048420562944,0,0,1,0,3,0,0,1
0,3,1,28.0,3,1,3.237371716404032,0,0,0,0,5,0,0,1
0,1,0,50.0,0,0,3.3573325680152166,0,1,0,0,1,1,0,0
0,2,1,30.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,3,1,36.0,0,0,0.0,0,0,1,0,1,1,0,1
0,3,0,28.0,8,2,4.242045918369452,0,1,0,0,11,0,0,1
0,2,1,28.0,0,0,2.711377991194885,0,0,1,0,1,1,0,0
0,3,1,9.0,4,2,3.4464097244837033,0,0,0,0,7,0,0,1
1,2,1,1.0,2,1,3.6635616461296463,0,0,0,0,4,0,0,1
1,3,0,4.0,0,2,3.092178171822243,0,1,0,0,3,0,0,1
0,1,1,28.0,0,0,3.912023005428146,0,0,1,0,1,1,0,1
1,3,0,28.0,1,0,2.740840023925201,0,0,0,1,2,0,1,0
1,1,1,45.0,0,0,3.279029747687948,0,0,1,0,1,1,0,1
0,3,1,40.0,1,1,2.740840023925201,0,0,1,0,3,0,1,0
0,3,1,36.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
1,2,0,32.0,0,0,2.5649493574615367,0,0,0,1,1,1,0,1
0,2,1,19.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
1,3,0,19.0,1,0,2.061048420562944,0,1,0,0,2,0,0,1
1,2,1,3.0,1,1,3.258096538021482,0,0,0,0,3,0,0,1
1,1,0,44.0,0,0,3.32218303393412,0,0,0,1,1,1,0,0
1,1,0,58.0,0,0,4.605170185988092,0,1,0,0,1,1,0,0
0,3,1,28.0,0,0,2.0476928433652555,0,0,1,0,1,1,1,0
0,3,1,42.0,0,1,2.128731580890919,0,0,1,0,2,0,0,1
1,3,0,28.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
0,2,0,24.0,0,0,2.5649493574615367,0,1,0,0,1,1,0,1
0,3,1,28.0,0,0,2.2512917986064953,0,0,1,0,1,1,0,1
0,3,1,28.0,8,2,4.242045918369452,0,0,1,0,11,0,0,1
0,3,1,34.0,0,0,1.8711558142080713,0,0,1,0,1,1,0,1
0,3,1,45.5,0,0,1.9775472339984959,0,0,1,0,1,1,0,0
1,3,1,18.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,0,2.0,0,1,2.3477974358155937,0,1,0,0,2,0,0,1
0,3,1,32.0,1,0,2.7631695003232895,0,0,1,0,2,0,0,1
1,3,1,26.0,0,0,2.933191755079093,0,0,1,0,1,1,0,0
1,3,0,16.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
1,1,1,40.0,0,0,3.4339872044851463,0,0,1,0,1,1,0,0
0,3,1,24.0,0,0,1.9530276168241774,0,0,1,0,1,1,0,1
1,2,0,35.0,0,0,3.044522437723423,0,1,0,0,1,1,0,1
0,3,1,22.0,0,0,1.9810014688665833,0,0,1,0,1,1,0,1
0,2,1,30.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,3,1,28.0,1,0,2.0476928433652555,0,0,1,0,2,0,1,0
1,1,0,31.0,1,0,4.605170185988092,0,1,0,0,2,0,0,0
1,3,0,27.0,0,0,2.0700223197633445,0,1,0,0,1,1,0,1
0,2,1,42.0,1,0,3.295836866004329,0,0,1,0,2,0,0,1
1,1,0,32.0,0,0,4.334564151246186,0,1,0,0,1,1,0,0
0,2,1,30.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
1,3,1,16.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,2,1,27.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,3,1,51.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
1,1,1,38.0,1,0,4.499809670330265,0,0,1,0,2,0,0,1
0,3,1,22.0,0,0,2.2353763433005955,0,0,1,0,1,1,0,1
1,2,1,19.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
0,3,1,20.5,0,0,1.9810014688665833,0,0,1,0,1,1,0,1
0,2,1,18.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,3,0,28.0,3,1,3.237371716404032,0,1,0,0,5,0,0,1
1,1,0,35.0,1,0,4.424547185829718,0,0,0,1,2,0,0,1
0,3,1,29.0,0,0,2.0509134580652977,0,0,1,0,1,1,0,1
0,2,1,59.0,0,0,2.6026896854443837,0,0,1,0,1,1,0,1
1,3,0,5.0,4,2,3.4464097244837033,0,1,0,0,7,0,0,1
0,2,1,24.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
0,3,0,28.0,0,0,2.0215475632609334,0,1,0,0,1,1,0,1
0,2,1,44.0,1,0,3.258096538021482,0,0,1,0,2,0,0,1
1,2,0,8.0,0,2,3.2676659890376327,0,1,0,0,3,0,0,1
0,2,1,19.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
0,2,1,33.0,0,0,2.507564673680584,0,0,1,0,1,1,0,1
0,3,0,28.0,1,0,2.6709850297651974,0,1,0,0,2,0,0,0
1,3,0,28.0,1,0,2.740840023925201,0,1,0,0,2,0,1,0
0,2,1,29.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
0,3,1,22.0,0,0,1.9636097261547143,0,0,1,0,1,1,0,1
0,3,1,30.0,0,0,1.9775472339984959,0,0,1,0,1,1,0,0
0,1,1,44.0,2,0,4.499809670330265,1,0,0,0,3,0,1,0
0,3,0,25.0,0,0,2.0509134580652977,0,1,0,0,1,1,0,1
1,2,0,24.0,0,2,2.6741486494265287,0,0,0,1,3,0,0,1
1,1,1,37.0,1,1,3.961845018011234,0,0,1,0,3,0,0,1
0,2,1,54.0,1,0,3.258096538021482,1,0,0,0,2,0,0,1
0,3,1,28.0,0,0,1.9810014688665833,0,0,1,0,1,1,0,1
0,3,0,29.0,1,1,2.3477974358155937,0,0,0,1,3,0,0,1
0,1,1,62.0,0,0,3.279029747687948,0,0,1,0,1,1,0,1
0,3,1,30.0,1,0,2.7788192719904172,0,0,1,0,2,0,0,1
0,3,0,41.0,0,2,3.006301224903225,0,0,0,1,3,0,0,1
1,3,0,29.0,0,2,2.7243040552851014,0,0,0,1,3,0,0,0
1,1,0,28.0,0,0,4.37197629882038,0,0,0,1,1,1,0,0
1,1,0,30.0,0,0,4.460144413937834,0,1,0,0,1,1,0,1
1,1,0,35.0,0,0,4.605170185988092,0,1,0,0,1,1,0,0
1,2,0,50.0,0,1,3.258096538021482,0,0,0,1,2,0,0,1
0,3,1,28.0,0,0,2.0476928433652555,0,0,1,0,1,1,1,0
1,3,1,3.0,4,2,3.4464097244837033,0,0,0,0,7,0,0,1
0,1,1,52.0,1,1,4.3776420363560575,0,0,1,0,3,0,0,1
0,1,1,40.0,0,0,0.0,0,0,1,0,1,1,0,1
0,3,0,28.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
0,2,1,36.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
0,3,1,16.0,4,1,3.6810362766529106,0,0,1,0,6,0,0,1
1,3,1,25.0,1,0,2.0509134580652977,0,0,1,0,2,0,0,1
1,1,0,58.0,0,1,4.605170185988092,0,0,0,1,2,0,0,1
1,1,0,35.0,0,0,4.605170185988092,0,1,0,0,1,1,0,1
0,1,1,28.0,0,0,3.4339872044851463,0,0,1,0,1,1,0,1
1,3,1,25.0,0,0,0.0,0,0,1,0,1,1,0,1
1,2,0,41.0,0,1,2.970414465569701,0,0,0,1,2,0,0,1
0,1,1,37.0,0,1,3.391147045808654,0,0,1,0,2,0,0,0
1,3,0,28.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
1,1,0,63.0,1,0,4.356174068347218,0,1,0,0,2,0,0,1
0,3,0,45.0,0,0,2.0476928433652555,0,1,0,0,1,1,0,1
0,2,1,28.0,0,0,0.0,0,0,1,0,1,1,0,1
0,3,1,7.0,4,1,3.371596911885865,0,0,0,0,6,0,1,0
1,3,0,35.0,1,1,3.0081547935525483,0,0,0,1,3,0,0,1
0,3,1,65.0,0,0,2.0476928433652555,0,0,1,0,1,1,1,0
0,3,1,28.0,0,0,2.061048420562944,0,0,1,0,1,1,0,1
0,3,1,16.0,0,0,2.2512917986064953,0,0,1,0,1,1,0,1
1,3,1,19.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,1,1,28.0,0,0,3.258096538021482,0,0,1,0,1,1,0,1
0,3,1,33.0,0,0,2.1590033645160216,0,0,1,0,1,1,0,0
1,3,1,30.0,0,0,2.2512917986064953,0,0,1,0,1,1,0,1
0,3,1,22.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
1,2,1,42.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
1,3,0,22.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
1,1,0,26.0,0,0,4.367547313409047,0,1,0,0,1,1,0,1
1,1,0,19.0,1,0,4.51172945766992,0,0,0,1,2,0,0,0
0,2,1,36.0,0,0,2.5552874465497997,0,0,1,0,1,1,0,0
0,3,0,24.0,0,0,2.180417459019838,0,1,0,0,1,1,0,1
0,3,1,24.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
0,1,1,28.0,0,0,3.32218303393412,0,0,1,0,1,1,0,0
0,3,1,23.5,0,0,1.9781283799793465,0,0,1,0,1,1,0,0
0,1,0,2.0,1,2,4.605170185988092,0,1,0,0,4,0,0,1
1,1,1,28.0,0,0,3.417726683613366,0,0,1,0,1,1,0,1
1,1,0,50.0,0,1,4.605170185988092,0,0,0,1,2,0,0,0
1,3,0,28.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
1,3,1,28.0,2,0,3.1463051320333655,0,0,1,0,3,0,1,0
0,3,1,19.0,0,0,0.0,0,0,1,0,1,1,0,1
1,2,0,28.0,0,0,2.513656063073986,0,1,0,0,1,1,1,0
0,3,1,28.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
1,1,1,0.92,1,2,4.605170185988092,0,0,0,0,4,0,0,1
1,1,0,28.0,0,0,4.605170185988092,0,1,0,0,1,1,0,0
1,1,0,17.0,1,0,4.605170185988092,0,0,0,1,2,0,0,0
0,2,1,30.0,1,0,3.1780538303479458,0,0,1,0,2,0,0,0
1,1,0,30.0,0,0,4.041808390519271,0,1,0,0,1,1,0,0
1,1,0,24.0,0,0,4.4207460202604185,0,1,0,0,1,1,0,0
1,1,0,18.0,2,2,4.605170185988092,0,1,0,0,5,0,0,0
0,2,0,26.0,1,1,3.258096538021482,0,0,0,1,3,0,0,1
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
0,2,1,43.0,1,1,3.2676659890376327,0,0,1,0,3,0,0,1
1,3,0,26.0,0,0,2.061048420562944,0,1,0,0,1,1,0,1
1,2,0,24.0,1,0,3.258096538021482,0,0,0,1,2,0,0,1
0,2,1,54.0,0,0,2.6390573296152584,1,0,0,0,1,1,0,1
1,1,0,31.0,0,2,4.605170185988092,0,1,0,0,3,0,0,1
1,1,0,40.0,1,1,4.605170185988092,0,0,0,1,3,0,0,0
0,3,1,22.0,0,0,1.9810014688665833,0,0,1,0,1,1,0,1
0,3,1,27.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
1,2,0,30.0,0,0,2.513656063073986,0,1,0,0,1,1,1,0
1,2,0,22.0,1,1,3.367295829986474,0,0,0,1,3,0,0,1
0,3,1,28.0,8,2,4.242045918369452,0,0,1,0,11,0,0,1
1,1,0,36.0,0,0,4.605170185988092,0,1,0,0,1,1,0,0
0,3,1,61.0,0,0,1.830579461077637,0,0,1,0,1,1,0,1
1,2,0,36.0,0,0,2.5649493574615367,0,0,0,1,1,1,0,1
1,3,0,31.0,1,1,3.021643655338492,0,0,0,1,3,0,0,1
1,1,0,16.0,0,1,4.0600843255369865,0,1,0,0,2,0,0,0
1,3,0,28.0,2,0,3.1463051320333655,0,1,0,0,3,0,1,0
0,1,1,45.5,0,0,3.349904087274605,0,0,1,0,1,1,0,1
0,1,1,38.0,0,1,4.605170185988092,0,0,1,0,2,0,0,1
0,3,1,16.0,2,0,2.8903717578961645,0,0,1,0,3,0,0,1
1,1,0,28.0,1,0,4.605170185988092,0,0,0,1,2,0,0,1
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
0,1,1,29.0,1,0,4.198704577546343,0,0,1,0,2,0,0,1
1,1,0,41.0,0,0,4.605170185988092,0,1,0,0,1,1,0,0
1,3,1,45.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,1,1,45.0,0,0,3.56953269648137,0,0,1,0,1,1,0,1
1,2,1,2.0,1,1,3.258096538021482,0,0,0,0,3,0,0,1
1,1,0,24.0,3,2,4.605170185988092,0,1,0,0,6,0,0,1
0,2,1,28.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,2,1,25.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,2,1,36.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
1,2,0,24.0,0,0,2.5649493574615367,0,1,0,0,1,1,0,1
1,2,0,40.0,0,0,2.5649493574615367,0,1,0,0,1,1,0,1
1,3,0,28.0,1,0,2.7788192719904172,0,0,0,1,2,0,0,1
1,3,1,3.0,1,1,2.766319109226186,0,0,0,0,3,0,0,1
0,3,1,42.0,0,0,2.1590033645160216,0,0,1,0,1,1,0,1
0,3,1,23.0,0,0,2.221917189926591,0,0,1,0,1,1,0,1
0,1,1,28.0,0,0,3.5553480614894135,0,0,1,0,1,1,0,1
0,3,1,15.0,1,1,1.9781283799793465,0,0,1,0,3,0,0,0
0,3,1,25.0,1,0,2.8791984572980396,0,0,1,0,2,0,0,1
0,3,1,28.0,0,0,1.9775472339984959,0,0,1,0,1,1,0,0
0,3,1,28.0,0,0,2.2512917986064953,0,0,1,0,1,1,0,1
1,1,0,22.0,0,1,4.007333185232471,0,1,0,0,2,0,0,1
0,2,0,38.0,0,0,2.5649493574615367,0,1,0,0,1,1,0,1
1,3,0,28.0,0,0,2.0642263758733557,0,1,0,0,1,1,1,0
